"subject" "activity" "signal" "domain" "variable" "variablemean"
"1" 1 "laying" "BodyAccJerkMag" "frequency" "mean" -0.9333003608
"2" 1 "laying" "BodyAccJerkMag" "frequency" "standarddeviation" -0.9218039756
"3" 1 "laying" "BodyAccJerkMag" "time" "mean" -0.9543962646
"4" 1 "laying" "BodyAccJerkMag" "time" "standarddeviation" -0.9282456284
"5" 1 "laying" "BodyAccJerkX" "frequency" "mean" -0.9570738838
"6" 1 "laying" "BodyAccJerkX" "frequency" "standarddeviation" -0.9641607086
"7" 1 "laying" "BodyAccJerkX" "time" "mean" 0.0810865342
"8" 1 "laying" "BodyAccJerkX" "time" "standarddeviation" -0.958482112
"9" 1 "laying" "BodyAccJerkY" "frequency" "mean" -0.9224626098
"10" 1 "laying" "BodyAccJerkY" "frequency" "standarddeviation" -0.9322178704
"11" 1 "laying" "BodyAccJerkY" "time" "mean" 0.0038382040088
"12" 1 "laying" "BodyAccJerkY" "time" "standarddeviation" -0.9241492736
"13" 1 "laying" "BodyAccJerkZ" "frequency" "mean" -0.9480609042
"14" 1 "laying" "BodyAccJerkZ" "frequency" "standarddeviation" -0.9605869872
"15" 1 "laying" "BodyAccJerkZ" "time" "mean" 0.010834236361
"16" 1 "laying" "BodyAccJerkZ" "time" "standarddeviation" -0.9548551108
"17" 1 "laying" "BodyAccMag" "frequency" "mean" -0.8617676481
"18" 1 "laying" "BodyAccMag" "frequency" "standarddeviation" -0.7983009404
"19" 1 "laying" "BodyAccMag" "time" "mean" -0.8419291525
"20" 1 "laying" "BodyAccMag" "time" "standarddeviation" -0.79514486386
"21" 1 "laying" "BodyAccX" "frequency" "mean" -0.9390990524
"22" 1 "laying" "BodyAccX" "frequency" "standarddeviation" -0.9244374346
"23" 1 "laying" "BodyAccX" "time" "mean" 0.22159824394
"24" 1 "laying" "BodyAccX" "time" "standarddeviation" -0.9280564692
"25" 1 "laying" "BodyAccY" "frequency" "mean" -0.86706520518
"26" 1 "laying" "BodyAccY" "frequency" "standarddeviation" -0.8336255561
"27" 1 "laying" "BodyAccY" "time" "mean" -0.0405139534294
"28" 1 "laying" "BodyAccY" "time" "standarddeviation" -0.83682740562
"29" 1 "laying" "BodyAccZ" "frequency" "mean" -0.8826668762
"30" 1 "laying" "BodyAccZ" "frequency" "standarddeviation" -0.81289155944
"31" 1 "laying" "BodyAccZ" "time" "mean" -0.11320355358
"32" 1 "laying" "BodyAccZ" "time" "standarddeviation" -0.826061401628
"33" 1 "laying" "BodyGyroJerkMag" "frequency" "mean" -0.9423669466
"34" 1 "laying" "BodyGyroJerkMag" "frequency" "standarddeviation" -0.9326606676
"35" 1 "laying" "BodyGyroJerkMag" "time" "mean" -0.96346103
"36" 1 "laying" "BodyGyroJerkMag" "time" "standarddeviation" -0.9358409828
"37" 1 "laying" "BodyGyroJerkX" "time" "mean" -0.107270949192
"38" 1 "laying" "BodyGyroJerkX" "time" "standarddeviation" -0.9186085208
"39" 1 "laying" "BodyGyroJerkY" "time" "mean" -0.04151728689
"40" 1 "laying" "BodyGyroJerkY" "time" "standarddeviation" -0.9679072436
"41" 1 "laying" "BodyGyroJerkZ" "time" "mean" -0.0740501211
"42" 1 "laying" "BodyGyroJerkZ" "time" "standarddeviation" -0.9577901596
"43" 1 "laying" "BodyGyroMag" "frequency" "mean" -0.8621901854
"44" 1 "laying" "BodyGyroMag" "frequency" "standarddeviation" -0.82431943968
"45" 1 "laying" "BodyGyroMag" "time" "mean" -0.874759548
"46" 1 "laying" "BodyGyroMag" "time" "standarddeviation" -0.81901016976
"47" 1 "laying" "BodyGyroX" "frequency" "mean" -0.850249174586
"48" 1 "laying" "BodyGyroX" "frequency" "standarddeviation" -0.8822964508
"49" 1 "laying" "BodyGyroX" "time" "mean" -0.016553093978
"50" 1 "laying" "BodyGyroX" "time" "standarddeviation" -0.87354386782
"51" 1 "laying" "BodyGyroY" "frequency" "mean" -0.9521914948
"52" 1 "laying" "BodyGyroY" "frequency" "standarddeviation" -0.9512320494
"53" 1 "laying" "BodyGyroY" "time" "mean" -0.064486124088
"54" 1 "laying" "BodyGyroY" "time" "standarddeviation" -0.9510904402
"55" 1 "laying" "BodyGyroZ" "frequency" "mean" -0.909302721
"56" 1 "laying" "BodyGyroZ" "frequency" "standarddeviation" -0.9165825082
"57" 1 "laying" "BodyGyroZ" "time" "mean" 0.14868943626
"58" 1 "laying" "BodyGyroZ" "time" "standarddeviation" -0.9082846626
"59" 1 "laying" "GravityAccMag" "time" "mean" -0.8419291525
"60" 1 "laying" "GravityAccMag" "time" "standarddeviation" -0.79514486386
"61" 1 "laying" "GravityAccX" "time" "mean" -0.24888179828
"62" 1 "laying" "GravityAccX" "time" "standarddeviation" -0.8968300184
"63" 1 "laying" "GravityAccY" "time" "mean" 0.70554977346
"64" 1 "laying" "GravityAccY" "time" "standarddeviation" -0.90772000676
"65" 1 "laying" "GravityAccZ" "time" "mean" 0.4458177198
"66" 1 "laying" "GravityAccZ" "time" "standarddeviation" -0.85236629022
"67" 1 "sitting" "BodyAccJerkMag" "frequency" "mean" -0.985262126808511
"68" 1 "sitting" "BodyAccJerkMag" "frequency" "standarddeviation" -0.981606177446808
"69" 1 "sitting" "BodyAccJerkMag" "time" "mean" -0.987364195531915
"70" 1 "sitting" "BodyAccJerkMag" "time" "standarddeviation" -0.984120024042553
"71" 1 "sitting" "BodyAccJerkX" "frequency" "mean" -0.986597022553191
"72" 1 "sitting" "BodyAccJerkX" "frequency" "standarddeviation" -0.987492994468085
"73" 1 "sitting" "BodyAccJerkX" "time" "mean" 0.0774825199574468
"74" 1 "sitting" "BodyAccJerkX" "time" "standarddeviation" -0.986430711276596
"75" 1 "sitting" "BodyAccJerkY" "frequency" "mean" -0.981579467021277
"76" 1 "sitting" "BodyAccJerkY" "frequency" "standarddeviation" -0.982513909574468
"77" 1 "sitting" "BodyAccJerkY" "time" "mean" -0.000619102785106384
"78" 1 "sitting" "BodyAccJerkY" "time" "standarddeviation" -0.981371965319149
"79" 1 "sitting" "BodyAccJerkZ" "frequency" "mean" -0.986053092340425
